model,branch,decision,phi,kappa,lambda
Claude,B,Reject,0.72,0.68,0.22
DeepSeek#1,A,Conditional,0.78,0.52,0.73
DeepSeek#2,B,Reject,0.25,0.10,0.05
Gemini,A,Conditional,0.80,0.65,0.78
Gemini,B,Reject,0.40,0.95,0.20
Grok,A,Conditional,0.85,0.55,0.78
Grok,B,Reject,0.35,0.85,0.20
