alpha,phi_eq,eig_real_max,eig_imag_mean
0.1,0.0,-0.039999999999999994,0.0
0.11,0.0,-0.04000000000000001,0.0
0.12000000000000001,0.0,-0.039999999999999994,0.0
0.13,0.0,-0.039999999999999994,0.0
0.14,0.0,-0.04000000000000001,0.0
0.15000000000000002,0.0,-0.039999999999999994,0.0
0.16,0.0,-0.04000000000000002,0.0
0.17,0.0,-0.039999999999999994,0.0
0.18,0.0,-0.039999999999999994,0.0
0.19,0.0,-0.04000000000000002,0.0
0.2,0.0,-0.04000000000000001,0.0
0.21000000000000002,0.0,-0.03999999999999999,0.0
0.22,0.0,-0.04000000000000001,0.0
0.23,0.0,-0.039999999999999994,0.0
0.24000000000000002,0.0,-0.04,0.0
0.25,0.0,-0.04000000000000001,0.0
0.26,0.0,-0.03999999999999998,0.0
0.27,0.0,-0.040000000000000015,0.0
0.28,0.0,-0.04,0.0
0.29000000000000004,0.0,-0.04000000000000001,0.0
0.30000000000000004,0.0,-0.04,0.0
0.31,0.0,-0.04000000000000001,0.0
0.32,0.0,-0.039999999999999994,0.0
0.33,0.0,-0.04,0.0
0.33999999999999997,0.0,-0.04,0.0
0.35,0.0,-0.03999999999999999,0.0
0.36,0.0,-0.039999999999999994,0.0
0.37,0.0,-0.04,0.0
0.38,0.0,-0.039999999999999994,0.0
0.39,0.0,-0.04000000000000001,0.0
0.4,0.0,-0.039999999999999994,0.0
0.41000000000000003,0.0,-0.039999999999999994,0.0
0.42000000000000004,0.0,-0.039999999999999994,0.0
0.43000000000000005,0.0,-0.039999999999999994,0.0
0.44000000000000006,0.0,-0.039999999999999994,0.0
0.45000000000000007,0.0,-0.039999999999999994,0.0
0.45999999999999996,0.0,-0.039999999999999994,0.0
0.47,0.0,-0.039999999999999994,0.0
0.48,0.0,-0.039999999999999994,0.0
0.49,0.0,-0.04000000000000001,0.0
0.5,0.0,-0.04000000000000001,0.0
0.51,0.0,-0.04,0.0
0.52,0.0,-0.04,0.0
0.53,0.0,-0.04000000000000001,0.0
0.54,0.0,-0.039999999999999994,0.0
0.55,0.0,-0.039999999999999994,0.0
0.56,0.0,-0.04000000000000001,0.0
0.5700000000000001,0.0,-0.04,0.0
0.58,0.0,-0.04,0.0
0.59,0.0,-0.04000000000000001,0.0
0.6,0.0,-0.039999999999999994,0.0
0.61,0.0,-0.04000000000000002,0.0
0.62,0.0,-0.039999999999999994,0.0
0.63,0.0,-0.039999999999999994,0.0
0.64,0.0,-0.04000000000000002,0.0
0.65,0.0,-0.03999999999999998,0.0
0.66,0.0,-0.039999999999999994,0.0
0.67,0.0,-0.04000000000000001,0.0
0.6799999999999999,0.0,-0.04000000000000001,0.0
0.69,0.0,-0.04000000000000001,0.0
0.7,0.0,-0.04,0.0
0.71,0.0,-0.039999999999999994,0.0
0.72,0.0,-0.039999999999999994,0.0
0.73,0.0,-0.04,0.0
0.74,0.0,-0.039999999999999994,0.0
0.75,0.0,-0.039999999999999994,0.0
0.76,0.0,-0.039999999999999994,0.0
0.77,0.0,-0.04,0.0
0.78,3e-323,-0.04000000000000001,0.0
0.79,0.0,-0.04,0.0
0.8,-2e-323,-0.04,0.0
0.8099999999999999,0.0,-0.04000000000000001,0.0
0.82,-1.14e-322,-0.04,0.0
0.83,4.74e-322,-0.04000000000000001,0.0
0.84,-0.26009341006883796,-0.04,0.0
0.84,0.0,0.057979589711327176,0.0
0.84,0.26009341006883835,-0.04000000000000001,0.0
0.85,-0.4047219049153549,-0.04000000000000001,0.0
0.85,7e-323,0.10696938456699075,0.0
0.85,0.4047219049153553,-0.04000000000000001,0.0
0.86,-0.5039086392054843,-0.039999999999999994,0.0
0.86,0.0,0.14330302779823367,0.0
0.86,0.5039086392054837,-0.04000000000000001,0.0
0.87,-0.5817203310803575,-0.04000000000000001,0.0
0.87,0.0,0.1735415650406263,0.0
0.87,0.5817203310803573,-0.039999999999999994,0.0
0.88,-0.6462005095201303,-0.04000000000000001,0.0
0.88,0.0,0.20000000000000007,0.0
0.88,0.6462005095201302,-0.04000000000000001,0.0
0.89,-0.7012708140502962,-0.04000000000000001,0.0
0.89,0.0,0.2238181191654584,0.0
0.89,0.7012708140502963,-0.04000000000000001,0.0
0.9,-0.7492131429157395,-0.04,0.0
0.9,-1e-323,0.2456571371417141,0.0
0.9,0.7492131429157399,-0.039999999999999994,0.0
0.91,-0.7915036424562619,-0.04000000000000001,0.0
0.91,0.0,0.2659411708155672,0.0
0.91,0.7915036424562621,-0.039999999999999994,0.0
0.92,-0.8291675991361293,-0.03999999999999999,0.0
0.92,0.0,0.28496153618543846,0.0
0.92,0.8291675991361288,-0.03999999999999999,0.0
0.93,-0.8629545007603074,-0.04000000000000001,0.0
0.93,5e-324,0.302928563989645,0.0
0.93,0.8629545007603071,-0.03999999999999998,0.0
0.94,-0.8934337342714246,-0.04000000000000001,0.0
0.94,0.0,0.31999999999999984,0.0
0.94,0.8934337342714249,-0.04000000000000001,0.0
0.95,-0.921051038727932,-0.04000000000000001,0.0
0.95,0.0,0.33629775444453547,0.0
0.95,0.9210510387279319,-0.04000000000000001,0.0
0.96,-0.9461638294652844,-0.039999999999999994,0.0
0.96,0.0,0.3519183588453083,0.0
0.96,0.9461638294652845,-0.039999999999999994,0.0
0.97,-0.96906436720222,-0.04000000000000002,0.0
0.97,0.0,0.366939798987516,0.0
0.97,0.9690643672022196,-0.04000000000000001,0.0
0.98,-0.9899955518603417,-0.04000000000000001,0.0
0.98,0.0,0.3814261501141094,0.0
0.98,0.9899955518603418,-0.04000000000000001,0.0
0.99,-1.0091620407194277,-0.04000000000000001,0.0
0.99,0.0,0.3954308211415447,0.0
0.99,1.0091620407194284,-0.039999999999999994,0.0
1.0,-1.02673829137097,-0.039999999999999994,0.0
1.0,0.0,0.4089988864128729,0.0
1.0,1.0267382913709702,-0.039999999999999994,0.0
