Delta,K,Classification
0.333367,0.015075,2
0.338342,0.015075,2
0.343317,0.015075,2
0.348291,0.015075,2
0.353266,0.015075,2
0.358241,0.015075,2
0.363216,0.015075,2
0.368191,0.015075,2
0.373166,0.015075,2
0.378141,0.015075,2
0.383116,0.015075,2
0.388090,0.015075,2
0.393065,0.015075,2
0.398040,0.015075,2
0.403015,0.015075,2
0.407990,0.015075,2
0.412965,0.015075,2
0.417940,0.015075,2
0.422915,0.015075,2
0.427889,0.015075,2
0.432864,0.015075,2
0.437839,0.015075,2
0.442814,0.015075,2
0.447789,0.015075,2
0.452764,0.015075,2
0.457739,0.015075,2
0.462714,0.015075,2
0.467688,0.015075,2
0.472663,0.015075,2
0.477638,0.015075,2
0.482613,0.015075,2
0.487588,0.015075,2
0.492563,0.015075,2
0.497538,0.015075,2
0.502513,0.015075,2
0.507487,0.015075,2
0.512462,0.015075,2
0.517437,0.015075,2
0.522412,0.015075,2
0.527387,0.015075,2
0.532362,0.015075,2
0.537337,0.015075,2
0.542312,0.015075,2
0.547286,0.015075,2
0.552261,0.015075,2
0.557236,0.015075,2
0.562211,0.015075,2
0.567186,0.015075,2
0.572161,0.015075,2
0.577136,0.015075,2
0.582111,0.015075,2
0.587085,0.015075,2
0.592060,0.015075,2
0.597035,0.015075,2
0.602010,0.015075,2
0.606985,0.015075,2
0.611960,0.015075,2
0.616935,0.015075,2
0.621910,0.015075,2
0.626884,0.015075,2
0.631859,0.015075,2
0.636834,0.015075,2
0.641809,0.015075,2
0.646784,0.015075,2
0.651759,0.015075,2
0.656734,0.015075,2
0.661709,0.015075,2
0.666683,0.015075,2
0.671658,0.015075,2
0.676633,0.015075,2
0.681608,0.015075,2
0.686583,0.015075,2
0.691558,0.015075,2
0.696533,0.015075,2
0.701508,0.015075,2
0.706482,0.015075,2
0.711457,0.015075,2
0.716432,0.015075,2
0.721407,0.015075,2
0.726382,0.015075,2
0.731357,0.015075,2
0.736332,0.015075,2
0.741307,0.015075,2
0.746281,0.015075,2
0.751256,0.015075,2
0.756231,0.015075,2
0.761206,0.015075,2
0.766181,0.015075,2
0.771156,0.015075,2
0.776131,0.015075,2
0.781106,0.015075,2
0.786080,0.015075,2
0.791055,0.015075,2
0.796030,0.015075,2
0.801005,0.015075,2
0.805980,0.015075,2
0.810955,0.015075,2
0.815930,0.015075,2
0.820905,0.015075,2
0.825879,0.015075,2
0.830854,0.015075,2
0.835829,0.015075,2
0.840804,0.015075,2
0.845779,0.015075,2
0.850754,0.015075,2
0.855729,0.015075,2
0.860704,0.015075,2
0.865678,0.015075,2
0.870653,0.015075,2
0.875628,0.015075,2
0.880603,0.015075,2
0.885578,0.015075,2
0.890553,0.015075,2
0.895528,0.015075,2
0.900503,0.015075,2
0.905477,0.015075,2
0.910452,0.015075,2
0.915427,0.015075,2
0.920402,0.015075,2
0.925377,0.015075,2
0.930352,0.015075,2
