Delta,K,Classification
0.935327,0.015075,2
0.940302,0.015075,2
0.945276,0.015075,2
0.950251,0.015075,2
0.955226,0.015075,2
0.960201,0.015075,2
0.965176,0.015075,2
0.970151,0.015075,2
0.975126,0.015075,2
0.980101,0.015075,2
0.985075,0.015075,2
0.990050,0.015075,2
0.995025,0.015075,2
1.000000,0.015075,2
0.010000,0.030151,2
0.014975,0.030151,2
0.019950,0.030151,2
0.024925,0.030151,2
0.029899,0.030151,2
0.034874,0.030151,2
0.039849,0.030151,2
0.044824,0.030151,2
0.049799,0.030151,2
0.054774,0.030151,2
0.059749,0.030151,2
0.064724,0.030151,2
0.069698,0.030151,2
0.074673,0.030151,2
0.079648,0.030151,2
0.084623,0.030151,2
0.089598,0.030151,2
0.094573,0.030151,2
0.099548,0.030151,2
0.104523,0.030151,2
0.109497,0.030151,2
0.114472,0.030151,2
0.119447,0.030151,2
0.124422,0.030151,2
0.129397,0.030151,2
0.134372,0.030151,2
0.139347,0.030151,2
0.144322,0.030151,2
0.149296,0.030151,2
0.154271,0.030151,2
0.159246,0.030151,2
0.164221,0.030151,2
0.169196,0.030151,2
0.174171,0.030151,1
0.179146,0.030151,1
0.184121,0.030151,1
0.189095,0.030151,1
0.194070,0.030151,1
0.199045,0.030151,1
0.204020,0.030151,1
0.208995,0.030151,1
0.213970,0.030151,1
0.218945,0.030151,1
0.223920,0.030151,1
0.228894,0.030151,1
0.233869,0.030151,1
0.238844,0.030151,2
0.243819,0.030151,2
0.248794,0.030151,2
0.253769,0.030151,2
0.258744,0.030151,2
0.263719,0.030151,2
0.268693,0.030151,2
0.273668,0.030151,2
0.278643,0.030151,2
0.283618,0.030151,2
0.288593,0.030151,2
0.293568,0.030151,2
0.298543,0.030151,2
0.303518,0.030151,2
0.308492,0.030151,2
0.313467,0.030151,2
0.318442,0.030151,2
0.323417,0.030151,2
0.328392,0.030151,2
0.333367,0.030151,2
0.338342,0.030151,2
0.343317,0.030151,2
0.348291,0.030151,2
0.353266,0.030151,2
0.358241,0.030151,2
0.363216,0.030151,2
0.368191,0.030151,2
0.373166,0.030151,2
0.378141,0.030151,2
0.383116,0.030151,2
0.388090,0.030151,2
0.393065,0.030151,2
0.398040,0.030151,2
0.403015,0.030151,2
0.407990,0.030151,2
0.412965,0.030151,2
0.417940,0.030151,2
0.422915,0.030151,2
0.427889,0.030151,2
0.432864,0.030151,2
0.437839,0.030151,2
0.442814,0.030151,2
0.447789,0.030151,2
0.452764,0.030151,2
0.457739,0.030151,2
0.462714,0.030151,2
0.467688,0.030151,2
0.472663,0.030151,2
0.477638,0.030151,2
0.482613,0.030151,2
0.487588,0.030151,2
0.492563,0.030151,2
0.497538,0.030151,2
0.502513,0.030151,2
0.507487,0.030151,2
0.512462,0.030151,2
0.517437,0.030151,2
0.522412,0.030151,2
0.527387,0.030151,2
0.532362,0.030151,2
0.537337,0.030151,2
0.542312,0.030151,2
0.547286,0.030151,2
0.552261,0.030151,2
0.557236,0.030151,2
0.562211,0.030151,2
0.567186,0.030151,2
0.572161,0.030151,2
0.577136,0.030151,2
0.582111,0.030151,2
0.587085,0.030151,2
0.592060,0.030151,2
0.597035,0.030151,2
0.602010,0.030151,2
0.606985,0.030151,2
0.611960,0.030151,2
0.616935,0.030151,2
0.621910,0.030151,2
0.626884,0.030151,2
0.631859,0.030151,2
0.636834,0.030151,2
0.641809,0.030151,2
0.646784,0.030151,2
0.651759,0.030151,2
0.656734,0.030151,2
0.661709,0.030151,2
0.666683,0.030151,2
0.671658,0.030151,2
0.676633,0.030151,2
0.681608,0.030151,2
0.686583,0.030151,2
0.691558,0.030151,2
0.696533,0.030151,2
0.701508,0.030151,2
0.706482,0.030151,2
0.711457,0.030151,2
0.716432,0.030151,2
0.721407,0.030151,2
0.726382,0.030151,2
0.731357,0.030151,2
0.736332,0.030151,2
0.741307,0.030151,2
0.746281,0.030151,2
0.751256,0.030151,2
0.756231,0.030151,2
0.761206,0.030151,2
0.766181,0.030151,2
0.771156,0.030151,2
0.776131,0.030151,2
0.781106,0.030151,2
0.786080,0.030151,2
0.791055,0.030151,2
0.796030,0.030151,2
0.801005,0.030151,2
0.805980,0.030151,2
0.810955,0.030151,2
0.815930,0.030151,2
0.820905,0.030151,2
0.825879,0.030151,2
0.830854,0.030151,2
0.835829,0.030151,2
0.840804,0.030151,2
0.845779,0.030151,2
0.850754,0.030151,2
0.855729,0.030151,2
0.860704,0.030151,2
0.865678,0.030151,2
0.870653,0.030151,2
0.875628,0.030151,2
0.880603,0.030151,2
0.885578,0.030151,2
0.890553,0.030151,2
0.895528,0.030151,2
0.900503,0.030151,2
0.905477,0.030151,2
0.910452,0.030151,2
0.915427,0.030151,2
0.920402,0.030151,2
0.925377,0.030151,2
0.930352,0.030151,2
0.935327,0.030151,2
0.940302,0.030151,2
0.945276,0.030151,2
0.950251,0.030151,2
0.955226,0.030151,2
0.960201,0.030151,2
0.965176,0.030151,2
0.970151,0.030151,2
0.975126,0.030151,2
0.980101,0.030151,2
0.985075,0.030151,2
0.990050,0.030151,2
0.995025,0.030151,2
1.000000,0.030151,2
0.010000,0.045226,2
0.014975,0.045226,2
0.019950,0.045226,2
0.024925,0.045226,2
0.029899,0.045226,2
0.034874,0.045226,2
0.039849,0.045226,2
0.044824,0.045226,2
0.049799,0.045226,2
0.054774,0.045226,2
0.059749,0.045226,2
0.064724,0.045226,2
0.069698,0.045226,2
0.074673,0.045226,2
0.079648,0.045226,2
0.084623,0.045226,2
0.089598,0.045226,2
0.094573,0.045226,2
0.099548,0.045226,2
0.104523,0.045226,2
0.109497,0.045226,2
0.114472,0.045226,2
0.119447,0.045226,2
0.124422,0.045226,2
0.129397,0.045226,2
0.134372,0.045226,2
0.139347,0.045226,2
0.144322,0.045226,2
0.149296,0.045226,2
0.154271,0.045226,2
0.159246,0.045226,2
0.164221,0.045226,2
0.169196,0.045226,1
0.174171,0.045226,1
0.179146,0.045226,1
0.184121,0.045226,1
0.189095,0.045226,1
0.194070,0.045226,1
0.199045,0.045226,1
0.204020,0.045226,1
0.208995,0.045226,1
0.213970,0.045226,1
0.218945,0.045226,1
0.223920,0.045226,1
0.228894,0.045226,1
0.233869,0.045226,1
0.238844,0.045226,1
0.243819,0.045226,1
0.248794,0.045226,2
0.253769,0.045226,2
0.258744,0.045226,2
0.263719,0.045226,2
0.268693,0.045226,2
0.273668,0.045226,2
0.278643,0.045226,2
0.283618,0.045226,2
0.288593,0.045226,2
0.293568,0.045226,2
0.298543,0.045226,2
0.303518,0.045226,2
0.308492,0.045226,2
0.313467,0.045226,2
0.318442,0.045226,2
0.323417,0.045226,2
0.328392,0.045226,2
0.333367,0.045226,2
0.338342,0.045226,2
0.343317,0.045226,2
0.348291,0.045226,2
0.353266,0.045226,2
0.358241,0.045226,2
0.363216,0.045226,2
0.368191,0.045226,2
0.373166,0.045226,2
0.378141,0.045226,2
0.383116,0.045226,2
0.388090,0.045226,2
0.393065,0.045226,2
0.398040,0.045226,2
0.403015,0.045226,2
0.407990,0.045226,2
0.412965,0.045226,2
0.417940,0.045226,2
0.422915,0.045226,2
0.427889,0.045226,2
0.432864,0.045226,2
0.437839,0.045226,2
0.442814,0.045226,2
0.447789,0.045226,2
0.452764,0.045226,2
0.457739,0.045226,2
0.462714,0.045226,2
0.467688,0.045226,2
0.472663,0.045226,2
0.477638,0.045226,2
0.482613,0.045226,2
0.487588,0.045226,2
0.492563,0.045226,2
0.497538,0.045226,2
0.502513,0.045226,2
0.507487,0.045226,2
0.512462,0.045226,2
0.517437,0.045226,2
0.522412,0.045226,2
0.527387,0.045226,2
0.532362,0.045226,2
0.537337,0.045226,2
0.542312,0.045226,2
0.547286,0.045226,2
0.552261,0.045226,2
0.557236,0.045226,2
0.562211,0.045226,2
0.567186,0.045226,2
0.572161,0.045226,2
0.577136,0.045226,2
0.582111,0.045226,2
0.587085,0.045226,2
0.592060,0.045226,2
0.597035,0.045226,2
0.602010,0.045226,2
0.606985,0.045226,2
0.611960,0.045226,2
0.616935,0.045226,2
0.621910,0.045226,2
0.626884,0.045226,2
0.631859,0.045226,2
0.636834,0.045226,2
0.641809,0.045226,2
0.646784,0.045226,2
0.651759,0.045226,2
0.656734,0.045226,2
0.661709,0.045226,2
0.666683,0.045226,2
0.671658,0.045226,2
0.676633,0.045226,2
0.681608,0.045226,2
0.686583,0.045226,2
0.691558,0.045226,2
0.696533,0.045226,2
0.701508,0.045226,2
0.706482,0.045226,2
0.711457,0.045226,2
0.716432,0.045226,2
0.721407,0.045226,2
0.726382,0.045226,2
0.731357,0.045226,2
0.736332,0.045226,2
0.741307,0.045226,2
0.746281,0.045226,2
0.751256,0.045226,2
0.756231,0.045226,2
0.761206,0.045226,2
0.766181,0.045226,2
0.771156,0.045226,2
0.776131,0.045226,2
0.781106,0.045226,2
0.786080,0.045226,2
0.791055,0.045226,2
0.796030,0.045226,2
0.801005,0.045226,2
0.805980,0.045226,2
0.810955,0.045226,2
0.815930,0.045226,2
0.820905,0.045226,2
0.825879,0.045226,2
0.830854,0.045226,2
0.835829,0.045226,2
0.840804,0.045226,2
0.845779,0.045226,2
0.850754,0.045226,2
0.855729,0.045226,2
0.860704,0.045226,2
0.865678,0.045226,2
0.870653,0.045226,2
0.875628,0.045226,2
0.880603,0.045226,2
0.885578,0.045226,2
0.890553,0.045226,2
0.895528,0.045226,2
0.900503,0.045226,2
0.905477,0.045226,2
0.910452,0.045226,2
0.915427,0.045226,2
0.920402,0.045226,2
0.925377,0.045226,2
0.930352,0.045226,2
0.935327,0.045226,2
0.940302,0.045226,2
0.945276,0.045226,2
0.950251,0.045226,2
0.955226,0.045226,2
0.960201,0.045226,2
0.965176,0.045226,2
0.970151,0.045226,2
0.975126,0.045226,2
0.980101,0.045226,2
0.985075,0.045226,2
0.990050,0.045226,2
0.995025,0.045226,2
1.000000,0.045226,2
0.010000,0.060302,2
0.014975,0.060302,2
0.019950,0.060302,2
0.024925,0.060302,2
0.029899,0.060302,2
0.034874,0.060302,2
0.039849,0.060302,2
0.044824,0.060302,2
0.049799,0.060302,2
0.054774,0.060302,2
0.059749,0.060302,2
0.064724,0.060302,2
0.069698,0.060302,2
0.074673,0.060302,2
0.079648,0.060302,2
0.084623,0.060302,2
0.089598,0.060302,2
0.094573,0.060302,2
0.099548,0.060302,2
0.104523,0.060302,2
0.109497,0.060302,2
0.114472,0.060302,2
0.119447,0.060302,2
0.124422,0.060302,2
0.129397,0.060302,2
0.134372,0.060302,2
0.139347,0.060302,2
0.144322,0.060302,2
0.149296,0.060302,2
0.154271,0.060302,2
0.159246,0.060302,2
0.164221,0.060302,1
0.169196,0.060302,1
0.174171,0.060302,1
0.179146,0.060302,1
0.184121,0.060302,1
0.189095,0.060302,1
0.194070,0.060302,1
0.199045,0.060302,1
0.204020,0.060302,1
0.208995,0.060302,1
0.213970,0.060302,1
0.218945,0.060302,1
0.223920,0.060302,1
0.228894,0.060302,1
0.233869,0.060302,1
0.238844,0.060302,1
0.243819,0.060302,1
0.248794,0.060302,1
0.253769,0.060302,1
0.258744,0.060302,2
0.263719,0.060302,2
0.268693,0.060302,2
0.273668,0.060302,2
0.278643,0.060302,2
0.283618,0.060302,2
0.288593,0.060302,2
0.293568,0.060302,2
0.298543,0.060302,2
0.303518,0.060302,2
0.308492,0.060302,2
0.313467,0.060302,2
0.318442,0.060302,2
0.323417,0.060302,2
0.328392,0.060302,2
0.333367,0.060302,2
0.338342,0.060302,2
0.343317,0.060302,2
0.348291,0.060302,2
0.353266,0.060302,2
0.358241,0.060302,2
0.363216,0.060302,2
0.368191,0.060302,2
0.373166,0.060302,2
0.378141,0.060302,2
0.383116,0.060302,2
0.388090,0.060302,2
0.393065,0.060302,2
0.398040,0.060302,2
0.403015,0.060302,2
0.407990,0.060302,2
0.412965,0.060302,2
0.417940,0.060302,2
0.422915,0.060302,2
0.427889,0.060302,2
0.432864,0.060302,2
0.437839,0.060302,2
0.442814,0.060302,2
0.447789,0.060302,2
0.452764,0.060302,2
0.457739,0.060302,2
0.462714,0.060302,2
0.467688,0.060302,2
0.472663,0.060302,2
0.477638,0.060302,2
0.482613,0.060302,2
0.487588,0.060302,2
0.492563,0.060302,2
0.497538,0.060302,2
0.502513,0.060302,2
0.507487,0.060302,2
0.512462,0.060302,2
0.517437,0.060302,2
0.522412,0.060302,2
0.527387,0.060302,2
0.532362,0.060302,2
0.537337,0.060302,2
0.542312,0.060302,2
0.547286,0.060302,2
0.552261,0.060302,2
0.557236,0.060302,2
0.562211,0.060302,2
0.567186,0.060302,2
0.572161,0.060302,2
0.577136,0.060302,2
0.582111,0.060302,2
0.587085,0.060302,2
0.592060,0.060302,2
0.597035,0.060302,2
0.602010,0.060302,2
0.606985,0.060302,2
0.611960,0.060302,2
0.616935,0.060302,2
0.621910,0.060302,2
0.626884,0.060302,2
0.631859,0.060302,2
0.636834,0.060302,2
0.641809,0.060302,2
0.646784,0.060302,2
0.651759,0.060302,2
0.656734,0.060302,2
0.661709,0.060302,2
0.666683,0.060302,2
0.671658,0.060302,2
0.676633,0.060302,2
0.681608,0.060302,2
0.686583,0.060302,2
0.691558,0.060302,2
0.696533,0.060302,2
0.701508,0.060302,2
0.706482,0.060302,2
0.711457,0.060302,2
0.716432,0.060302,2
0.721407,0.060302,2
0.726382,0.060302,2
0.731357,0.060302,2
0.736332,0.060302,2
0.741307,0.060302,2
0.746281,0.060302,2
0.751256,0.060302,2
0.756231,0.060302,2
0.761206,0.060302,2
0.766181,0.060302,2
0.771156,0.060302,2
0.776131,0.060302,2
0.781106,0.060302,2
0.786080,0.060302,2
0.791055,0.060302,2
0.796030,0.060302,2
0.801005,0.060302,2
0.805980,0.060302,2
0.810955,0.060302,2
0.815930,0.060302,2
0.820905,0.060302,2
0.825879,0.060302,2
0.830854,0.060302,2
0.835829,0.060302,2
0.840804,0.060302,2
0.845779,0.060302,2
0.850754,0.060302,2
0.855729,0.060302,2
0.860704,0.060302,2
0.865678,0.060302,2
0.870653,0.060302,2
0.875628,0.060302,2
0.880603,0.060302,2
0.885578,0.060302,2
0.890553,0.060302,2
0.895528,0.060302,2
0.900503,0.060302,2
0.905477,0.060302,2
0.910452,0.060302,2
0.915427,0.060302,2
0.920402,0.060302,2
0.925377,0.060302,2
0.930352,0.060302,2
0.935327,0.060302,2
0.940302,0.060302,2
0.945276,0.060302,2
0.950251,0.060302,2
0.955226,0.060302,2
0.960201,0.060302,2
0.965176,0.060302,2
0.970151,0.060302,2
0.975126,0.060302,2
0.980101,0.060302,2
0.985075,0.060302,2
0.990050,0.060302,2
0.995025,0.060302,2
1.000000,0.060302,2
0.010000,0.075377,2
0.014975,0.075377,2
0.019950,0.075377,2
0.024925,0.075377,2
0.029899,0.075377,2
0.034874,0.075377,2
0.039849,0.075377,2
0.044824,0.075377,2
0.049799,0.075377,2
0.054774,0.075377,2
0.059749,0.075377,2
0.064724,0.075377,2
0.069698,0.075377,2
0.074673,0.075377,2
0.079648,0.075377,2
0.084623,0.075377,2
0.089598,0.075377,2
0.094573,0.075377,2
0.099548,0.075377,2
0.104523,0.075377,2
0.109497,0.075377,2
0.114472,0.075377,2
0.119447,0.075377,2
0.124422,0.075377,2
0.129397,0.075377,2
0.134372,0.075377,2
0.139347,0.075377,2
0.144322,0.075377,2
0.149296,0.075377,2
0.154271,0.075377,2
0.159246,0.075377,1
0.164221,0.075377,1
0.169196,0.075377,1
0.174171,0.075377,1
0.179146,0.075377,1
0.184121,0.075377,1
0.189095,0.075377,1
0.194070,0.075377,1
0.199045,0.075377,1
0.204020,0.075377,1
0.208995,0.075377,1
0.213970,0.075377,1
0.218945,0.075377,1
0.223920,0.075377,1
0.228894,0.075377,1
0.233869,0.075377,1
0.238844,0.075377,1
0.243819,0.075377,1
0.248794,0.075377,1
0.253769,0.075377,1
0.258744,0.075377,1
0.263719,0.075377,1
0.268693,0.075377,2
0.273668,0.075377,2
0.278643,0.075377,2
0.283618,0.075377,2
0.288593,0.075377,2
0.293568,0.075377,2
0.298543,0.075377,2
0.303518,0.075377,2
0.308492,0.075377,2
0.313467,0.075377,2
0.318442,0.075377,2
0.323417,0.075377,2
0.328392,0.075377,2
0.333367,0.075377,2
0.338342,0.075377,2
0.343317,0.075377,2
0.348291,0.075377,2
0.353266,0.075377,2
0.358241,0.075377,2
0.363216,0.075377,2
0.368191,0.075377,2
0.373166,0.075377,2
0.378141,0.075377,2
0.383116,0.075377,2
0.388090,0.075377,2
0.393065,0.075377,2
0.398040,0.075377,2
0.403015,0.075377,2
0.407990,0.075377,2
0.412965,0.075377,2
0.417940,0.075377,2
0.422915,0.075377,2
0.427889,0.075377,2
0.432864,0.075377,2
0.437839,0.075377,2
0.442814,0.075377,2
0.447789,0.075377,2
0.452764,0.075377,2
0.457739,0.075377,2
0.462714,0.075377,2
0.467688,0.075377,2
0.472663,0.075377,2
0.477638,0.075377,2
0.482613,0.075377,2
0.487588,0.075377,2
0.492563,0.075377,2
0.497538,0.075377,2
0.502513,0.075377,2
0.507487,0.075377,2
0.512462,0.075377,2
0.517437,0.075377,2
0.522412,0.075377,2
0.527387,0.075377,2
0.532362,0.075377,2
0.537337,0.075377,2
0.542312,0.075377,2
0.547286,0.075377,2
0.552261,0.075377,2
0.557236,0.075377,2
0.562211,0.075377,2
0.567186,0.075377,2
0.572161,0.075377,2
0.577136,0.075377,2
0.582111,0.075377,2
0.587085,0.075377,2
0.592060,0.075377,2
0.597035,0.075377,2
0.602010,0.075377,2
0.606985,0.075377,2
0.611960,0.075377,2
0.616935,0.075377,2
0.621910,0.075377,2
0.626884,0.075377,2
0.631859,0.075377,2
0.636834,0.075377,2
0.641809,0.075377,2
0.646784,0.075377,2
0.651759,0.075377,2
0.656734,0.075377,2
0.661709,0.075377,2
0.666683,0.075377,2
0.671658,0.075377,2
0.676633,0.075377,2
0.681608,0.075377,2
0.686583,0.075377,2
0.691558,0.075377,2
0.696533,0.075377,2
0.701508,0.075377,2
0.706482,0.075377,2
0.711457,0.075377,2
0.716432,0.075377,2
0.721407,0.075377,2
0.726382,0.075377,2
0.731357,0.075377,2
0.736332,0.075377,2
0.741307,0.075377,2
0.746281,0.075377,2
0.751256,0.075377,2
0.756231,0.075377,2
0.761206,0.075377,2
0.766181,0.075377,2
0.771156,0.075377,2
0.776131,0.075377,2
0.781106,0.075377,2
0.786080,0.075377,2
0.791055,0.075377,2
0.796030,0.075377,2
0.801005,0.075377,2
0.805980,0.075377,2
0.810955,0.075377,2
0.815930,0.075377,2
0.820905,0.075377,2
