lambda,eta_c
0.100000,0.344000
0.590000,0.680000
1.080000,0.920000
1.570000,1.112000
2.060000,1.304000
2.550000,1.544000
3.040000,1.640000
3.530000,1.640000
4.020000,1.832000
4.510000,2.264000
5.000000,1.976000
