lambda,eta_c
0.1,0.34400000000000003
0.5900000000000001,0.6799999999999999
1.08,0.9199999999999999
1.5700000000000003,1.112
2.06,1.304
2.5500000000000003,1.544
3.0400000000000005,1.64
3.5300000000000002,1.64
4.0200000000000005,1.832
4.51,2.12
5.0,1.976
