alpha,branch_id,phi_eq,eig1_real,eig1_imag,eig2_real,eig2_imag,stable_flag
0.418000,0,0.0000000000,-0.0400000000,0.8148619515,-0.0400000000,-0.8148619515,1
0.420000,0,0.0000000000,-0.0400000000,0.8138795980,-0.0400000000,-0.8138795980,1
0.422000,0,0.0000000000,-0.0400000000,0.8128960573,-0.0400000000,-0.8128960573,1
0.424000,0,0.0000000000,-0.0400000000,0.8119113252,-0.0400000000,-0.8119113252,1
0.426000,0,0.0000000000,-0.0400000000,0.8109253973,-0.0400000000,-0.8109253973,1
0.428000,0,0.0000000000,-0.0400000000,0.8099382693,-0.0400000000,-0.8099382693,1
0.430000,0,0.0000000000,-0.0400000000,0.8089499366,-0.0400000000,-0.8089499366,1
0.432000,0,-0.0000000000,-0.0400000000,0.8079603951,-0.0400000000,-0.8079603951,1
0.434000,0,0.0000000000,-0.0400000000,0.8069696401,-0.0400000000,-0.8069696401,1
0.436000,0,0.0000000000,-0.0400000000,0.8059776672,-0.0400000000,-0.8059776672,1
0.438000,0,0.0000000000,-0.0400000000,0.8049844719,-0.0400000000,-0.8049844719,1
0.440000,0,0.0000000000,-0.0400000000,0.8039900497,-0.0400000000,-0.8039900497,1
0.442000,0,0.0000000000,-0.0400000000,0.8029943960,-0.0400000000,-0.8029943960,1
0.444000,0,0.0000000000,-0.0400000000,0.8019975062,-0.0400000000,-0.8019975062,1
0.446000,0,0.0000000000,-0.0400000000,0.8009993758,-0.0400000000,-0.8009993758,1
0.448000,0,0.0000000000,-0.0400000000,0.8000000000,-0.0400000000,-0.8000000000,1
0.450000,0,0.0000000000,-0.0400000000,0.7989993742,-0.0400000000,-0.7989993742,1
